hanja,kor,radical,radical_name,stroke_count,level,rep_pron
辰,별 진|때 신,辰,별 진|때 신,7,준3급,진
珍,보배 진,玉,구슬 옥,9,4급,진
振,떨칠 진,手,손 수,10,준3급,진
陣,진칠 진,阜,언덕 부,10,4급,진
眞,참 진,目,눈 목,10,준4급,진
陳,베풀/묵을 진,阜,언덕 부,11,준3급,진
進,나아갈 진,辵,쉬엄쉬엄갈 착,12,준4급,진
盡,다할 진,皿,그릇 명,14,4급,진
震,우레 진,雨,비 우,15,준3급,진
鎭,진압할 진,金,쇠 금|성 김,18,준3급,진
姪,조카 질,女,계집 녀,9,3급,질
疾,병 질,疒,병들어기댈 녁,10,준3급,질
秩,차례 질,禾,벼 화,10,준3급,질
質,바탕 질,貝,조개 패,15,준5급,질
執,잡을 집,土,흙 토,11,준3급,집
集,모을 집,隹,새 추,12,준6급,집
徵,부를 징,彳,조금걸을 척,15,준3급,징
懲,징계할 징,心,마음 심,19,3급,징
且,또 차,一,한 일,5,3급,차
此,이 차,止,그칠 지,6,준3급,차
次,버금 차,欠,하품 흠,6,준4급,차
車,수레 거|수레 차,車,수레 거/차,7,준7급,차
茶,차 다|차 차,艸,풀 초,10,준3급,차
借,빌/빌릴 차,人,사람 인,10,준3급,차
差,다를 차,工,장인 공,10,4급,차
捉,잡을 착,手,손 수,10,3급,착
着,붙을 착,目,눈 목,12,준5급,착
錯,어긋날 착,金,쇠 금|성 김,16,준3급,착
贊,도울 찬,貝,조개 패,19,준3급,찬
讚,기릴 찬,言,말씀 언,26,4급,찬
察,살필 찰,宀,집 면,14,준4급,찰
參,참여할 참,厶,사사 사,11,준5급,참
慘,참혹할 참,心,마음 심,14,3급,참
慙,부끄러워할 참,心,마음 심,15,3급,참
昌,창성할 창,日,날 일,8,준3급,창
倉,곳집 창,人,사람 인,10,준3급,창
窓,창 창,穴,굴 혈,11,준6급,창
唱,부를 창,口,입 구,11,5급,창
創,비롯할 창,刀,칼 도,12,준4급,창
暢,화창할 창,日,날 일,14,3급,창
蒼,푸를 창,艸,풀 초,14,준3급,창
彩,채색 채,彡,터럭 삼,11,준3급,채
採,캘 채,手,손 수,11,4급,채
菜,나물 채,艸,풀 초,12,준3급,채
債,빚 채,人,사람 인,13,준3급,채
冊,책 책,冂,멀 경,5,4급,책
責,꾸짖을 책,貝,조개 패,11,준5급,책
策,꾀 책,竹,대 죽,12,준3급,책
妻,아내 처,女,계집 녀,8,준3급,처
處,곳 처,虍,호피무늬 호,11,준4급,처
尺,자 척,尸,주검 시,4,준3급,척
斥,물리칠 척,斤,근/날 근,5,3급,척
刺,찌를 자|찌를 척,刀,칼 도,8,준3급,척
